L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
53212,80,6,7.0,112,0,2,0,22,62208,1
51399,53,17,0.0,148,0,2,0,0,4289919,0
54652,80,6,7.0,936,770,7,5,31,0,1
35964,80,6,7.0,822,770,8,5,31,0,1
38710,80,6,7.0,777,770,7,5,31,0,1
57890,80,6,7.0,486,740,6,5,27,4294805,1
55320,80,6,7.0,52,0,1,0,20,0,1
53538,80,6,7.0,754,1340,5,4,27,4278349,1
51758,80,6,7.0,647,1340,5,4,27,4263002,1
54728,80,6,7.0,721,710,5,4,27,4285824,1
59602,80,6,7.0,845,770,7,5,31,0,1
3306,47410,6,20.0,294,120,4,3,29,4294966,0
53212,80,6,7.0,52,0,1,0,20,0,1
36336,80,6,7.0,882,710,5,4,27,4283157,1
59388,80,6,7.0,52,0,1,0,20,0,1
32864,80,6,7.0,712,710,5,4,27,4289920,1
34516,80,6,7.0,946,770,7,5,31,0,1
39032,80,6,7.0,729,770,7,5,31,0,1
2118,1,6,238.0,40,40,1,1,20,4294967,0
40108,80,6,7.0,676,770,7,5,31,0,1
33542,80,6,7.0,52,0,1,0,20,0,1
54218,80,6,7.0,721,710,6,4,31,4281359,1
50590,80,6,7.0,713,770,7,5,31,0,1
4276,1,6,238.0,40,40,1,1,20,4294967,0
54834,80,6,7.0,725,710,6,4,31,4287649,1
55410,80,6,7.0,860,770,7,5,31,0,1
40986,80,6,7.0,638,710,5,4,27,4289915,1
35190,80,6,7.0,790,1340,5,4,27,4264082,1
57566,80,6,7.0,994,770,7,5,31,0,1
46926,80,6,7.0,774,710,6,4,31,4266782,1
55940,80,6,7.0,722,770,7,5,31,0,1
54732,80,6,7.0,628,718,6,4,30,0,1
59342,80,6,7.0,1034,1340,5,4,27,4260538,1
47868,80,6,7.0,647,1340,5,4,27,4278939,1
3377,1,6,238.0,40,40,1,1,20,4294967,0
49362,80,6,7.0,2060,770,10,5,31,0,1
48349,53,17,5.126,62,137,1,1,0,4294823,0
51592,80,6,7.0,760,770,7,5,31,0,1
39308,53,17,5.126,67,245,1,1,0,4294958,0
80,8080,6,7.0,8421318,8991064,9063,9063,0,4174990,0
50368,80,6,7.0,2598,1340,10,4,31,4252890,1
3456,80,17,0.0,2533742,2489960,2519,2519,0,4175025,0
52958,80,6,7.0,830,1340,5,4,27,4260829,1
60620,80,6,7.0,17893,52463,30,39,25,4294784,1
56722,80,6,7.0,52,0,1,0,20,0,1
