L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
52426,80,6,7.0,52,0,1,0,20,0,1
35066,80,6,7.0,770,1340,5,4,27,4264069,1
38158,80,6,7.0,839,770,7,5,31,0,1
53252,80,6,7.0,868,710,5,4,27,4283375,1
54934,80,6,7.0,974,770,7,5,31,0,1
49644,80,6,7.0,684,1340,5,4,27,4278470,1
32816,80,6,7.0,777,1340,6,4,31,4237759,1
36698,80,6,7.0,783,770,7,5,31,0,1
56914,53,17,0.0,148,0,2,0,0,4289919,0
53120,80,6,7.0,112,0,2,0,22,62316,1
42628,80,6,7.0,112,0,2,0,22,1568662,1
60184,80,6,7.0,52,0,1,0,20,0,1
50252,80,6,7.0,84,44,2,1,22,4294966,1
56742,80,6,7.0,52,0,1,0,20,0,1
38264,80,6,7.0,112,0,2,0,22,426587,1
48349,53,17,5.126,62,137,1,1,0,4294823,0
36849,17077,17,0.0,28,0,1,0,0,0,0
36312,80,6,7.0,608,710,5,4,27,4289919,1
44656,80,6,7.0,664,710,6,4,31,4273852,1
59844,80,6,7.0,774,1340,6,4,31,4236128,1
55872,80,6,7.0,938,770,7,5,31,0,1
80,8080,6,7.0,8911660,9514051,9592,9592,0,4174976,0
37416,80,6,7.0,659,1340,5,4,27,4278767,1
34386,80,6,7.0,980,770,7,5,31,0,1
34900,80,6,7.0,728,770,7,5,31,0,1
47338,80,6,7.0,681,1340,5,4,27,4277944,1
41548,80,6,7.0,899,770,7,5,31,0,1
49736,80,6,7.0,112,0,2,0,22,705693,1
56600,80,6,7.0,791,770,7,5,31,0,1
37854,80,6,7.0,52,0,1,0,20,0,1
35103,22914,17,0.0,28,0,1,0,0,0,0
33404,80,6,7.0,894,1288,5,3,30,4274616,1
47354,80,6,7.0,647,1340,5,4,27,4277959,1
58054,80,6,7.0,112,0,2,0,22,1598312,1
58386,80,6,7.0,3198,710,11,4,27,4279104,1
54250,80,6,7.0,802,770,7,5,31,0,1
80,80,6,7.0,2410279,0,2628,0,0,4174969,0
56860,80,6,7.0,648,770,7,5,31,0,1
52590,80,6,7.0,791,770,7,5,31,0,1
60116,80,6,7.0,752,1340,5,4,27,4278746,1
49142,80,6,7.0,921,770,7,5,31,0,1
58880,80,6,7.0,839,770,7,5,31,0,1
52176,80,6,7.0,676,718,6,4,30,4294967,1
60668,80,6,7.0,52,0,1,0,20,0,1
52638,80,6,7.0,972,1288,5,3,30,4276144,1
59996,80,6,7.0,700,1340,6,4,31,4236148,1
55018,80,6,6.999359525534789,696,759,13,5,31,4824,1
52694,80,6,7.0,789,1288,5,3,30,4276153,1
51642,80,6,7.0,784,770,7,5,31,0,1
39750,3306,6,0.0,434,497,7,6,27,4294769,0
52094,80,6,7.0,736,1288,5,3,30,4272430,1
39220,80,6,7.0,690,770,7,5,31,0,1
33900,80,6,7.0,816,770,7,5,31,0,1
37396,80,6,7.0,820,1340,5,4,27,4278748,1
46200,80,6,7.0,813,770,7,5,31,0,1
40324,80,6,7.0,743,770,7,5,31,0,1
4391,1,6,238.0,40,40,1,1,20,4294967,0
54164,80,6,7.0,711,770,7,5,31,0,1
80,34878,6,7.0,718,618,4,5,30,4294967,0
50114,80,6,7.0,618,1340,5,4,27,4260162,1
51886,80,6,7.0,112,0,2,0,22,760277,1
38968,80,6,7.0,713,1340,5,4,31,4261490,1
44708,80,6,7.0,767,710,6,4,31,4273859,1
53446,80,6,7.0,52,0,1,0,20,0,1
42927,53,17,5.126,62,137,1,1,0,4294821,0
52004,80,6,7.0,615,1340,6,4,31,4272414,1
57028,80,6,7.0,728,1340,5,4,27,4277982,1
51434,80,6,7.0,112,0,2,0,22,760378,1
51162,53,17,0.0,148,0,2,0,0,4289919,0
51502,80,6,7.0,758,1340,5,4,27,4262988,1
37583,53,17,0.0,148,0,2,0,0,4289919,0
56264,80,6,7.0,908,770,7,5,31,0,1
60074,80,6,7.0,744,1340,6,4,31,4254417,1
47684,80,6,7.0,635,1340,5,4,27,4276517,1
41050,80,6,7.0,112,0,2,0,22,1898058,1
36582,80,6,7.0,760,770,7,5,31,0,1
55076,80,6,7.0,831,1340,5,4,27,4278667,1
58358,80,6,7.0,675,1340,6,4,31,4256233,1
41382,80,6,7.0,476,740,6,5,27,4294816,1
59422,80,6,7.0,741,770,7,5,31,0,1
58846,80,6,7.0,52,0,1,0,20,0,1
60120,80,6,7.0,743,770,7,5,31,0,1
41374,80,6,7.0,937,738,6,5,27,4294910,1
52337,53,17,0.0,56,1125,1,1,0,4294951,0
39122,80,6,7.0,696,710,5,4,27,4289920,1
58236,80,6,7.0,112,0,2,0,22,1598187,1
48926,80,6,7.0,701,710,5,4,27,4283149,1
45780,80,6,7.0,823,1340,5,4,27,4260146,1
55242,80,6,7.0,52,0,1,0,20,0,1
40042,80,6,7.0,928,770,7,5,31,0,1
59940,80,6,7.0,865,770,7,5,31,0,1
55002,80,6,7.0,338,1354,6,5,27,4294763,1
80,48104,6,7.0,738,825,5,4,27,4294918,0
