L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
21903,53,17,5.178,77,375,1,1,0,4294728,0
41859,687,17,0.0,28,0,1,0,0,0,0
37276,53,17,0.0,148,0,2,0,0,4289919,0
40064,3306,6,0.0,434,497,7,6,27,4294768,0
43462,4433,6,0.0,60,40,1,1,22,4294967,1
3991,1,6,238.0,40,40,1,1,20,4294967,0
42089,53,17,0.0,144,0,2,0,0,4289918,0
38244,53,17,5.126,67,245,1,1,0,4294823,0
53586,38293,17,0.0,28,0,1,0,0,0,0
48986,3306,6,0.0,434,497,7,6,27,4294769,0
0,0,1,0.0,56,0,1,0,0,0,0
44943,445,6,41.0,4525,204,6,4,31,4294958,1
80,53802,6,7.0,756,421,5,5,27,4294814,0
61786,47772,17,0.0,28,0,1,0,0,0,0
8080,80,6,7.0,9466867,8867917,9545,9545,0,4174977,0
33163,19600,17,0.0,28,0,1,0,0,0,0
53585,664,17,0.0,28,0,1,0,0,0,0
49577,53,17,5.126,67,245,1,1,0,4294822,0
52216,53,17,5.126,72,72,1,1,0,4294959,0
80,80,6,7.0,2023264,0,2143,0,0,4175701,0
36228,16970,17,0.0,28,0,1,0,0,0,0
43736,4433,6,0.0,60,40,1,1,22,4294967,1
36706,53,17,0.0,74,0,1,0,0,0,0
3306,39102,6,0.0,497,434,6,7,27,4294769,0
36229,1214,17,0.0,28,0,1,0,0,0,0
365,565,17,0.0,237222,0,5157,0,0,4174982,0
60914,53,17,0.0,148,0,2,0,0,4289919,0
36228,20206,17,0.0,28,0,1,0,0,0,0
3220,1,6,238.0,40,40,1,1,20,4294967,0
58523,53,17,5.126,62,137,1,1,0,4294822,0
80,52558,6,7.0,1414,278,6,5,27,4288907,0
58161,443,6,91.126,150,98,2,1,24,4294961,0
51640,53,17,0.0,144,0,2,0,0,4289924,0
32909,53,17,5.126,67,245,1,1,0,4294787,0
4312,1,6,238.0,40,40,1,1,20,4294967,0
54150,3306,6,0.0,434,497,7,6,27,4294769,0
39926,3306,6,0.0,434,497,7,6,27,4294769,0
48748,3306,6,0.0,434,497,7,6,27,4294769,0
55531,4433,6,0.0,60,40,1,1,22,4294967,1
42596,240,6,1.6681297085492135,68579,57622,31,-88,21,476698,1
-4284,-131,6,0.2747312072546056,-229905,331226,8,34,22,4321167,1
3306,110,6,2.0,294,120,4,3,29,4294967,0
34094,53,17,5.126,67,245,1,1,0,4294821,0
58448,53,17,0.0,148,0,2,0,0,4289919,0
59582,53,17,0.0,148,0,2,0,0,4289926,0
3284,1,6,238.0,40,40,1,1,20,4294967,0
37295,445,6,41.0,4525,204,6,4,31,4294954,1
55707,4433,6,0.0,60,40,1,1,22,4294967,1
46744,53,17,0.0,144,0,2,0,0,4289921,0
80,8080,6,7.0,2445964,2487443,2515,2515,0,4175027,0
51063,53,17,0.0,144,0,2,0,0,4289921,0
43495,53,17,5.126,72,72,1,1,0,4294960,0
53904,3306,6,0.0,434,497,7,6,27,4294768,0
42141,-731,6,0.2279022747088905,177079,-161419,-2,-47,31,4289594,1
54876,4433,6,0.0,60,40,1,1,22,4294967,1
37138,3306,6,0.0,434,497,7,6,27,4294767,0
36726,22,6,92.0,1658,3380,15,16,27,4290502,1
57585,53,17,0.0,148,0,2,0,0,4289919,0
2133,1,6,238.0,40,40,1,1,20,4294967,0
61786,49189,17,0.0,28,0,1,0,0,0,0
