IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.100.6,52670,192.168.100.1,53,17,5.212,71,126,1,1,0,4294966,0,Benign
192.168.100.6,49160,192.168.100.149,4444,6,0,217753000,199100,4521,4049,24,4176249,1,Theft
192.168.100.46,3456,192.168.100.5,80,17,0,8508021,8918372,9086,9086,0,4175916,0,Benign
192.168.100.3,80,192.168.100.55,8080,6,7,8442138,9013406,9086,9086,0,4175916,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8374706,0,9086,0,0,4175916,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3799285,0,5452,0,0,4175932,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,224664,0,4884,0,0,4175916,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,8593829,0,9086,0,0,4175916,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,865176,0,3068,0,0,4175932,0,Benign
192.168.100.3,50850,13.54.166.67,8883,6,222.178,38904,4992,96,96,24,4176171,0,Benign
192.168.100.150,4433,192.168.100.3,50032,6,0,544986,226241403,9648,45416,24,4175393,1,Theft
192.168.100.6,138,192.168.100.255,138,17,0,236,0,1,0,0,0,0,Benign
192.168.100.3,80,192.168.100.55,8080,6,7,8435248,9001683,9076,9076,0,4174981,0,Benign
192.168.100.5,80,192.168.100.46,3456,17,0,8906982,8496871,9076,9076,0,4174981,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,8584699,0,9076,0,0,4174981,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8367422,0,9076,0,0,4174981,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3793748,0,5446,0,0,4174981,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,864048,0,3064,0,0,4175016,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,224434,0,4879,0,0,4174998,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,211568,220367200,4273,4621,24,4175290,1,Theft
192.168.100.3,50850,13.54.166.67,8883,6,222.178,38748,5408,104,104,24,4176156,0,Benign
192.168.100.3,50032,192.168.100.150,4433,6,0,228223480,553494,37817,9965,24,4175089,1,Theft
192.168.100.149,4444,192.168.100.6,49160,6,0,76472,82899496,1381,1617,24,4244768,1,Theft
192.168.100.150,49421,27.124.125.251,123,17,0,76,76,1,1,0,4294918,0,Benign
192.168.100.4,49844,91.189.94.4,123,17,9.169,76,76,1,1,0,4294678,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8297630,8704052,8866,8866,0,4174971,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,8792603,8237366,8866,8866,0,4174971,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,8376594,0,8866,0,0,4174971,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8178602,0,8866,0,0,4174971,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,843744,0,2992,0,0,4174996,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3708229,0,5320,0,0,4174983,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,219282,0,4767,0,0,4174983,0,Benign
192.168.100.150,4433,192.168.100.3,50032,6,0,641816,234768864,11580,61110,24,4175276,1,Theft
192.168.100.3,50850,13.54.166.67,8883,6,222.178,38877,4888,94,94,24,4176152,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,25544,11806648,217,305,24,4276378,1,Theft
192.168.100.7,138,192.168.100.255,138,17,0,515,0,2,0,0,4294967,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,208,200,2,1,24,4294904,1,Theft
192.168.100.46,3456,192.168.100.5,80,17,0,8837492,9265006,9440,9440,0,4174978,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9362946,8771884,9440,9440,0,4174978,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,8924930,0,9440,0,0,4174978,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8704388,0,9440,0,0,4174978,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,898452,0,3186,0,0,4175008,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3946628,0,5664,0,0,4174995,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,233404,0,5074,0,0,4174995,0,Benign
192.168.100.150,4433,192.168.100.3,50032,6,0,553412,243219688,9913,34154,24,4175336,1,Theft
192.168.100.3,50850,13.54.166.67,8883,6,222.178,39552,4992,96,96,24,4176086,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,208,200,2,1,24,4294910,1,Theft
192.168.100.150,4433,192.168.100.3,50032,6,0,167697,93496246,2955,8141,24,4248103,1,Theft
192.168.100.149,4444,192.168.100.6,49160,6,0,208,200,2,1,24,4294915,1,Theft
192.168.100.46,3456,192.168.100.5,80,17,0,8917068,9347626,9525,9525,0,4174983,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9446878,8851519,9525,9525,0,4174983,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9006805,0,9525,0,0,4174983,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8781052,0,9525,0,0,4174983,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,906348,0,3214,0,0,4174995,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3978879,0,5714,0,0,4175008,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,235474,0,5119,0,0,4174995,0,Benign
192.168.100.3,50850,13.54.166.67,8883,6,222.178,40317,5460,105,105,24,4175481,0,Benign
192.168.100.150,4433,192.168.100.3,50032,6,0,214,186,2,1,24,4294967,1,Theft
192.168.100.149,4444,192.168.100.6,49160,6,0,208,200,2,1,24,4294906,1,Theft
192.168.100.6,138,192.168.100.255,138,17,0,229,0,1,0,0,0,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,208,200,2,1,24,4294914,1,Theft
192.168.100.46,3456,192.168.100.5,80,17,0,8936782,9367902,9545,9545,0,4174977,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9466867,8867917,9545,9545,0,4174977,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9024842,0,9545,0,0,4174975,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8801371,0,9545,0,0,4174977,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3991416,0,5727,0,0,4174990,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,235980,0,5130,0,0,4174988,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,908322,0,3221,0,0,4175015,0,Benign
192.168.100.3,50850,13.54.166.67,8883,6,222.178,39817,5252,101,101,24,4175971,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,188664,231380920,3749,4329,24,4175864,1,Theft
192.168.100.46,3456,192.168.100.5,80,17,0,8917657,9349675,9527,9527,0,4174980,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9450198,8853285,9527,9527,0,4174980,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9007059,0,9527,0,0,4174980,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,906912,0,3216,0,0,4174980,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8783896,0,9527,0,0,4174980,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3983405,0,5717,0,0,4174980,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,235566,0,5121,0,0,4174989,0,Benign
192.168.100.3,50850,13.54.166.67,8883,6,222.178,40145,5876,113,113,24,4175982,0,Benign
192.168.100.3,50850,13.54.166.67,8883,6,222.178,32516,4316,83,83,24,4198752,0,Benign
192.168.100.149,4444,192.168.100.6,49160,6,0,181528,203493596,3650,4057,24,4190095,1,Theft
192.168.100.3,80,192.168.100.55,8080,6,7,7465453,7968670,8034,8034,0,0,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,7593188,0,8034,0,0,1273583,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,7521964,7886043,8034,8034,0,0,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,7410498,0,8034,0,0,1273583,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,198674,0,4319,0,0,1273583,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3358538,0,4820,0,0,1273580,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,764784,0,2712,0,0,1273580,0,Benign
192.168.100.3,80,192.168.100.149,42560,6,7,710,686,4,5,27,4289877,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37217,2652,51,51,24,4177869,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,909168,0,3224,0,0,4175470,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3994096,0,5733,0,0,4175435,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,236256,0,5136,0,0,4175422,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9036865,0,9557,0,0,4175400,0,Benign
192.168.100.3,80,192.168.100.55,8080,6,7,8881713,9477378,9557,9557,0,4175397,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8946736,9379040,9557,9557,0,4175400,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8814298,0,9557,0,0,4175400,0,Benign
192.168.100.3,80,192.168.100.147,58294,6,7,710,709,4,5,27,4282948,0,Benign
192.168.100.3,80,192.168.100.149,43092,6,7,60,442,1,2,26,4273310,0,Benign
192.168.100.3,80,192.168.100.149,42802,6,7,60,374,1,2,26,4272310,0,Benign
192.168.100.3,80,192.168.100.147,58382,6,7,710,4032,4,13,27,4257887,0,Benign
192.168.100.3,80,192.168.100.150,54776,6,7,710,705,4,5,27,4283925,0,Benign
192.168.100.3,80,192.168.100.147,58384,6,7,60,441,1,2,26,4272974,0,Benign
192.168.100.3,80,192.168.100.150,54642,6,7,60,541,1,2,26,4273759,0,Benign
192.168.100.3,80,192.168.100.150,54644,6,7,60,413,1,2,26,4273311,0,Benign
192.168.100.3,80,192.168.100.150,54646,6,7,60,483,1,2,26,4273311,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,38545,3692,71,71,24,4178710,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913116,0,3238,0,0,4175011,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9515382,8916431,9594,9594,0,4174984,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9069874,0,9594,0,0,4174984,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8981087,9417291,9594,9594,0,4174984,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8846074,0,9594,0,0,4174984,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4011450,0,5757,0,0,4174984,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237222,0,5157,0,0,4174984,0,Benign
192.168.100.3,80,192.168.100.148,34068,6,7,710,663,4,5,27,4289924,0,Benign
192.168.100.6,138,192.168.100.255,138,17,0,465,0,2,0,0,4272448,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913116,0,3238,0,0,4175010,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237222,0,5157,0,0,4174982,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9070926,0,9595,0,0,4174973,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9516827,8916444,9595,9595,0,4174971,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8982207,9417315,9595,9595,0,4174971,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8848127,0,9595,0,0,4174973,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4012505,0,5757,0,0,4174983,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,38813,3952,76,76,24,4177511,0,Benign
192.168.100.7,80,192.168.100.147,43218,6,7,1340,666,4,5,27,4260638,0,Benign
192.168.100.7,80,192.168.100.147,43008,6,7,60,471,1,2,26,4282423,0,Benign
192.168.100.7,80,192.168.100.147,43006,6,7,60,554,1,2,26,4282221,0,Benign
192.168.100.6,58727,192.168.100.1,53,17,5.212,71,126,1,1,0,4294957,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,912552,0,3236,0,0,4174994,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4007498,0,5751,0,0,4175016,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9062143,0,9586,0,0,4174988,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8839742,0,9586,0,0,4174988,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237038,0,5153,0,0,4174988,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8976283,9408635,9587,9586,0,4174979,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9508537,8907388,9586,9587,0,4174979,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,38618,3744,72,72,24,4176598,0,Benign
192.168.100.4,55530,91.189.89.199,123,17,9.169,76,76,1,1,0,4294675,0,Benign
